sequenceNo	sequenceStartUnix	sequenceEndUnix	sequenceStartDate	sequenceEndDate	sonarFilePath	sonarFileTimestampsPath	mergingFrames	cam1FilePath	cam1FileTimestampsPath	cam2FilePath	cam2FileTimestampsPath
0	1629609208.033	1629609281.673	2021-08-22T05:13:28.033	2021-08-22T05:14:41.673	sonar\sonar_0000.mp4	sonar\sonar_0000.txt	0	camera\cam1_0000.mp4	camera\cam1_0000.txt	camera\cam2_0000.mp4	camera\cam2_0000.txt
1	1629609313.543	1629609497.753	2021-08-22T05:15:13.543	2021-08-22T05:18:17.753	sonar\sonar_0001.mp4	sonar\sonar_0001.txt	0	camera\cam1_0001.mp4	camera\cam1_0001.txt	camera\cam2_0001.mp4	camera\cam2_0001.txt
2	1629609532.253	1629609805.994	2021-08-22T05:18:52.253	2021-08-22T05:23:25.994	sonar\sonar_0002.mp4	sonar\sonar_0002.txt	0	camera\cam1_0002.mp4	camera\cam1_0002.txt	camera\cam2_0002.mp4	camera\cam2_0002.txt
3	1629609822.204	1629609920.834	2021-08-22T05:23:42.204	2021-08-22T05:25:20.834	sonar\sonar_0003.mp4	sonar\sonar_0003.txt	0	camera\cam1_0003.mp4	camera\cam1_0003.txt	camera\cam2_0003.mp4	camera\cam2_0003.txt
4	1629609925.724	1629610084.184	2021-08-22T05:25:25.724	2021-08-22T05:28:04.184	sonar\sonar_0004.mp4	sonar\sonar_0004.txt	0	camera\cam1_0004.mp4	camera\cam1_0004.txt	camera\cam2_0004.mp4	camera\cam2_0004.txt
5	1629610339.144	1629610578.265	2021-08-22T05:32:19.144	2021-08-22T05:36:18.265	sonar\sonar_0005.mp4	sonar\sonar_0005.txt	0	camera\cam1_0005.mp4	camera\cam1_0005.txt	camera\cam2_0005.mp4	camera\cam2_0005.txt
6	1629610782.235	1629611130.215	2021-08-22T05:39:42.235	2021-08-22T05:45:30.215	sonar\sonar_0006.mp4	sonar\sonar_0006.txt	0	camera\cam1_0006.mp4	camera\cam1_0006.txt	camera\cam2_0006.mp4	camera\cam2_0006.txt
7	1629611146.226	1629611322.336	2021-08-22T05:45:46.226	2021-08-22T05:48:42.336	sonar\sonar_0007.mp4	sonar\sonar_0007.txt	0	camera\cam1_0007.mp4	camera\cam1_0007.txt	camera\cam2_0007.mp4	camera\cam2_0007.txt
8	1629611389.206	1629611486.196	2021-08-22T05:49:49.206	2021-08-22T05:51:26.196	sonar\sonar_0008.mp4	sonar\sonar_0008.txt	0	camera\cam1_0008.mp4	camera\cam1_0008.txt	camera\cam2_0008.mp4	camera\cam2_0008.txt
9	1629611499.966	1629611654.366	2021-08-22T05:51:39.966	2021-08-22T05:54:14.366	sonar\sonar_0009.mp4	sonar\sonar_0009.txt	0	camera\cam1_0009.mp4	camera\cam1_0009.txt	camera\cam2_0009.mp4	camera\cam2_0009.txt
10	1629611992.837	1629612064.987	2021-08-22T05:59:52.837	2021-08-22T06:01:04.987	sonar\sonar_0010.mp4	sonar\sonar_0010.txt	0	camera\cam1_0010.mp4	camera\cam1_0010.txt	camera\cam2_0010.mp4	camera\cam2_0010.txt
11	1629612341.437	1629612413.247	2021-08-22T06:05:41.437	2021-08-22T06:06:53.247	sonar\sonar_0011.mp4	sonar\sonar_0011.txt	0	camera\cam1_0011.mp4	camera\cam1_0011.txt	camera\cam2_0011.mp4	camera\cam2_0011.txt
12	1629613678.919	1629613782.879	2021-08-22T06:27:58.919	2021-08-22T06:29:42.879	sonar\sonar_0012.mp4	sonar\sonar_0012.txt	0	camera\cam1_0012.mp4	camera\cam1_0012.txt	camera\cam2_0012.mp4	camera\cam2_0012.txt
13	1629615741.822	1629615825.852	2021-08-22T07:02:21.822	2021-08-22T07:03:45.852	sonar\sonar_0013.mp4	sonar\sonar_0013.txt	49	camera\cam1_0013.mp4	camera\cam1_0013.txt	camera\cam2_0013.mp4	camera\cam2_0013.txt
14	1629616095.503	1629616258.573	2021-08-22T07:08:15.503	2021-08-22T07:10:58.573	sonar\sonar_0014.mp4	sonar\sonar_0014.txt	0	camera\cam1_0014.mp4	camera\cam1_0014.txt	camera\cam2_0014.mp4	camera\cam2_0014.txt
15	1629616360.253	1629616435.513	2021-08-22T07:12:40.253	2021-08-22T07:13:55.513	sonar\sonar_0015.mp4	sonar\sonar_0015.txt	0	camera\cam1_0015.mp4	camera\cam1_0015.txt	camera\cam2_0015.mp4	camera\cam2_0015.txt
16	1629616673.093	1629616751.653	2021-08-22T07:17:53.093	2021-08-22T07:19:11.653	sonar\sonar_0016.mp4	sonar\sonar_0016.txt	0	camera\cam1_0016.mp4	camera\cam1_0016.txt	camera\cam2_0016.mp4	camera\cam2_0016.txt
17	1629616875.204	1629616950.854	2021-08-22T07:21:15.204	2021-08-22T07:22:30.854	sonar\sonar_0017.mp4	sonar\sonar_0017.txt	0	camera\cam1_0017.mp4	camera\cam1_0017.txt	camera\cam2_0017.mp4	camera\cam2_0017.txt
18	1629617119.174	1629617213.444	2021-08-22T07:25:19.174	2021-08-22T07:26:53.444	sonar\sonar_0018.mp4	sonar\sonar_0018.txt	0	camera\cam1_0018.mp4	camera\cam1_0018.txt	camera\cam2_0018.mp4	camera\cam2_0018.txt
19	1629618783.266	1629618865.486	2021-08-22T07:53:03.266	2021-08-22T07:54:25.486	sonar\sonar_0019.mp4	sonar\sonar_0019.txt	0	camera\cam1_0019.mp4	camera\cam1_0019.txt	camera\cam2_0019.mp4	camera\cam2_0019.txt
20	1629618967.747	1629619060.947	2021-08-22T07:56:07.747	2021-08-22T07:57:40.947	sonar\sonar_0020.mp4	sonar\sonar_0020.txt	0	camera\cam1_0020.mp4	camera\cam1_0020.txt	camera\cam2_0020.mp4	camera\cam2_0020.txt
21	1629619342.487	1629619419.257	2021-08-22T08:02:22.487	2021-08-22T08:03:39.257	sonar\sonar_0021.mp4	sonar\sonar_0021.txt	0	camera\cam1_0021.mp4	camera\cam1_0021.txt	camera\cam2_0021.mp4	camera\cam2_0021.txt
22	1629619524.797	1629619645.037	2021-08-22T08:05:24.797	2021-08-22T08:07:25.037	sonar\sonar_0022.mp4	sonar\sonar_0022.txt	0	camera\cam1_0022.mp4	camera\cam1_0022.txt	camera\cam2_0022.mp4	camera\cam2_0022.txt
23	1629619654.968	1629619783.418	2021-08-22T08:07:34.968	2021-08-22T08:09:43.418	sonar\sonar_0023.mp4	sonar\sonar_0023.txt	0	camera\cam1_0023.mp4	camera\cam1_0023.txt	camera\cam2_0023.mp4	camera\cam2_0023.txt
24	1629620022.388	1629620441.359	2021-08-22T08:13:42.388	2021-08-22T08:20:41.359	sonar\sonar_0024.mp4	sonar\sonar_0024.txt	0	camera\cam1_0024.mp4	camera\cam1_0024.txt	camera\cam2_0024.mp4	camera\cam2_0024.txt
25	1629620531.279	1629620857.399	2021-08-22T08:22:11.279	2021-08-22T08:27:37.399	sonar\sonar_0025.mp4	sonar\sonar_0025.txt	0	camera\cam1_0025.mp4	camera\cam1_0025.txt	camera\cam2_0025.mp4	camera\cam2_0025.txt
26	1629621135.89	1629621225.53	2021-08-22T08:32:15.890	2021-08-22T08:33:45.530	sonar\sonar_0026.mp4	sonar\sonar_0026.txt	0	camera\cam1_0026.mp4	camera\cam1_0026.txt	camera\cam2_0026.mp4	camera\cam2_0026.txt
27	1629621278.91	1629621402.78	2021-08-22T08:34:38.910	2021-08-22T08:36:42.780	sonar\sonar_0027.mp4	sonar\sonar_0027.txt	250	camera\cam1_0027.mp4	camera\cam1_0027.txt	camera\cam2_0027.mp4	camera\cam2_0027.txt
28	1629625295.415	1629625413.775	2021-08-22T09:41:35.415	2021-08-22T09:43:33.775	sonar\sonar_0028.mp4	sonar\sonar_0028.txt	0	camera\cam1_0028.mp4	camera\cam1_0028.txt	camera\cam2_0028.mp4	camera\cam2_0028.txt
29	1629625482.696	1629625688.226	2021-08-22T09:44:42.696	2021-08-22T09:48:08.226	sonar\sonar_0029.mp4	sonar\sonar_0029.txt	0	camera\cam1_0029.mp4	camera\cam1_0029.txt	camera\cam2_0029.mp4	camera\cam2_0029.txt
30	1629626075.767	1629626191.417	2021-08-22T09:54:35.767	2021-08-22T09:56:31.417	sonar\sonar_0030.mp4	sonar\sonar_0030.txt	0	camera\cam1_0030.mp4	camera\cam1_0030.txt	camera\cam2_0030.mp4	camera\cam2_0030.txt
31	1629626942.128	1629627052.108	2021-08-22T10:09:02.128	2021-08-22T10:10:52.108	sonar\sonar_0031.mp4	sonar\sonar_0031.txt	0	camera\cam1_0031.mp4	camera\cam1_0031.txt	camera\cam2_0031.mp4	camera\cam2_0031.txt
32	1629627451.308	1629627533.048	2021-08-22T10:17:31.308	2021-08-22T10:18:53.048	sonar\sonar_0032.mp4	sonar\sonar_0032.txt	0	camera\cam1_0032.mp4	camera\cam1_0032.txt	camera\cam2_0032.mp4	camera\cam2_0032.txt
33	1629628792.28	1629628941.15	2021-08-22T10:39:52.280	2021-08-22T10:42:21.150	sonar\sonar_0033.mp4	sonar\sonar_0033.txt	0	camera\cam1_0033.mp4	camera\cam1_0033.txt	camera\cam2_0033.mp4	camera\cam2_0033.txt
34	1629629292.621	1629629392.471	2021-08-22T10:48:12.621	2021-08-22T10:49:52.471	sonar\sonar_0034.mp4	sonar\sonar_0034.txt	0	camera\cam1_0034.mp4	camera\cam1_0034.txt	camera\cam2_0034.mp4	camera\cam2_0034.txt
35	1629629511.931	1629629587.631	2021-08-22T10:51:51.931	2021-08-22T10:53:07.631	sonar\sonar_0035.mp4	sonar\sonar_0035.txt	0	camera\cam1_0035.mp4	camera\cam1_0035.txt	camera\cam2_0035.mp4	camera\cam2_0035.txt
36	1629629852.192	1629630004.602	2021-08-22T10:57:32.192	2021-08-22T11:00:04.602	sonar\sonar_0036.mp4	sonar\sonar_0036.txt	0	camera\cam1_0036.mp4	camera\cam1_0036.txt	camera\cam2_0036.mp4	camera\cam2_0036.txt
